,GDP,能源投资总量,,,,,,,,,,,
2016,744127,32837,,,,,,,,,,,
2015,689052,32562,,,,,,,,,,,
2014,643974,31515,,,,,,,,,,,
2013,595244,29009,,,,,,,,,,,
2012,540367,25500,,,,,,,,,,,
2011,489301,23046,,,,,,,,,,,
2010,413030,21627,,,,,,,,,,,
2009,349081,19478,,,,,,,,,,,
2008,319516,16346,,,,,,,,,,,
2007,270232,13699,,,,,,,,,,,
2006,219439,11826,,,,,,,,,,,
2005,187319,10206,,,,,,,,,,,
2004,161840,    7505,,,,,,,,,,,
2003,137422,    5160,,,,,,,,,,,
2002,121717,4262,,,,,,,,,,,
2001,110863,3818,,,,,,,,,,,
2000,100280,3991,,,,,,,,,,,
